,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 96 ,1201,977,852,118,0,6,0,0
City of Milwaukee Ward 97 ,1144,937,711,208,1,4,3,4
City of Milwaukee Ward 98 ,803,663,619,32,2,2,1,2
City of Milwaukee Ward 99 ,1291,1042,938,95,0,3,2,3
City of Milwaukee Ward 100 ,801,620,573,34,2,4,1,3
City of Milwaukee Ward 101 ,1199,927,883,28,2,5,3,3
City of Milwaukee Ward 102 ,1394,1135,1062,57,2,4,3,2
City of Milwaukee Ward 103 ,1726,1256,1147,94,2,1,1,6
City of Milwaukee Ward 104 ,1468,1019,968,33,3,1,5,5
City of Milwaukee Ward 105 ,627,434,411,14,1,2,0,1
City of Milwaukee Ward 106 ,562,328,307,11,1,1,2,1
City of Milwaukee Ward 107 ,829,608,588,10,1,2,1,2
City of Milwaukee Ward 108 ,862,616,576,26,1,2,0,7
City of Milwaukee Ward 109 ,959,638,614,18,0,0,2,2
City of Milwaukee Ward 110 ,540,341,324,11,1,3,1,0
City of Milwaukee Ward 111 ,760,483,461,15,0,1,1,4
City of Milwaukee Ward 112 ,858,602,577,18,2,1,1,2
City of Milwaukee Ward 113 ,732,511,482,22,0,2,3,2
City of Milwaukee Ward 114 ,671,495,470,16,1,4,1,2
City of Milwaukee Ward 115 ,1114,817,789,19,0,5,2,0
City of Milwaukee Ward 116 ,611,410,395,10,0,0,1,1
City of Milwaukee Ward 117 ,712,483,465,9,0,3,2,2
City of Milwaukee Ward 118 ,807,572,539,24,1,1,2,2
City of Milwaukee Ward 119 ,831,574,550,17,0,2,1,4
City of Milwaukee Ward 120 ,738,473,447,20,0,3,0,0
City of Milwaukee Ward 121 ,918,655,612,33,0,0,5,2
City of Milwaukee Ward 122 ,1007,670,630,33,0,2,1,2
City of Milwaukee Ward 123 ,1265,905,810,76,0,6,4,6
City of Milwaukee Ward 124 ,793,608,539,52,2,8,1,3
City of Milwaukee Ward 125 ,1376,1150,1012,121,1,5,1,9
City of Milwaukee Ward 126 ,1065,908,815,73,1,8,3,8
City of Milwaukee Ward 127 ,1499,1247,1016,209,1,13,1,7
City of Milwaukee Ward 128 ,1693,1319,1056,227,0,22,2,10
City of Milwaukee Ward 129 ,1174,989,809,162,0,11,0,5
City of Milwaukee Ward 130 ,794,352,267,78,0,5,0,2
City of Milwaukee Ward 131 ,1306,1145,864,267,2,6,0,4
City of Milwaukee Ward 132 ,1915,1637,1255,359,1,12,0,6
City of Milwaukee Ward 133 ,1085,830,710,100,1,13,2,4
City of Milwaukee Ward 134 ,1150,910,759,117,2,20,2,8
City of Milwaukee Ward 135 ,1529,1278,1076,164,2,18,1,10
City of Milwaukee Ward 136 ,1213,889,738,121,2,14,0,10
City of Milwaukee Ward 137 ,841,659,558,83,1,7,2,8
City of Milwaukee Ward 138 ,2463,1942,1773,129,2,14,4,17
City of Milwaukee Ward 139 ,1726,1311,1177,99,2,11,5,11
City of Milwaukee Ward 140 ,572,373,343,25,0,2,1,1
City of Milwaukee Ward 141 ,771,570,531,28,0,0,2,6
City of Milwaukee Ward 142 ,833,631,598,21,2,3,2,4
City of Milwaukee Ward 143 ,655,470,448,18,0,0,1,2
City of Milwaukee Ward 144 ,531,350,334,6,0,0,2,2
City of Milwaukee Ward 145 ,322,213,200,5,0,1,4,1
City of Milwaukee Ward 146 ,276,188,179,6,0,1,2,0
City of Milwaukee Ward 147 ,1119,730,700,23,1,3,0,0
City of Milwaukee Ward 148 ,798,554,524,22,1,1,1,3
City of Milwaukee Ward 149 ,1008,675,632,34,0,2,2,1
City of Milwaukee Ward 150 ,848,594,553,32,3,3,0,0
City of Milwaukee Ward 151 ,581,414,391,15,0,1,2,1
City of Milwaukee Ward 152 ,553,357,332,19,0,2,3,0
City of Milwaukee Ward 153 ,871,671,624,38,0,4,1,2
City of Milwaukee Ward 154 ,756,523,486,26,1,7,0,2
City of Milwaukee Ward 155 ,717,472,433,30,2,3,1,3
City of Milwaukee Ward 156 ,1027,697,636,50,1,5,0,4
City of Milwaukee Ward 157 ,696,503,444,46,0,2,2,3
City of Milwaukee Ward 158 ,625,459,429,21,0,5,0,1
City of Milwaukee Ward 159 ,617,452,400,45,1,3,0,1
City of Milwaukee Ward 160 ,772,554,531,14,2,5,0,1
City of Milwaukee Ward 161 ,248,190,181,7,0,2,0,0
City of Milwaukee Ward 162 ,509,349,320,26,0,1,1,1
City of Milwaukee Ward 163 ,873,617,576,35,1,2,0,1
City of Milwaukee Ward 164 ,1036,794,696,92,0,3,0,0
City of Milwaukee Ward 165 ,1015,773,623,137,0,7,1,4
City of Milwaukee Ward 166 ,401,318,277,34,1,1,1,3
City of Milwaukee Ward 167 ,980,815,659,135,2,7,4,7
City of Milwaukee Ward 168 ,1754,1503,1204,265,0,21,1,10
City of Milwaukee Ward 169 ,698,447,406,35,1,0,1,2
City of Milwaukee Ward 170 ,531,375,317,50,0,3,1,3
City of Milwaukee Ward 171 ,237,147,107,36,1,2,0,1
City of Milwaukee Ward 172 ,628,436,399,30,1,1,2,1
City of Milwaukee Ward 173 ,782,598,567,22,1,1,2,3
City of Milwaukee Ward 174 ,1122,833,778,39,2,3,2,5
City of Milwaukee Ward 175 ,729,574,522,44,0,2,0,3
City of Milwaukee Ward 176 ,972,713,668,36,0,4,2,2
City of Milwaukee Ward 177 ,2673,2187,1787,352,3,32,3,7
City of Milwaukee Ward 178 ,2062,1732,1374,312,2,34,0,5
City of Milwaukee Ward 179 ,2013,1560,1337,195,1,18,2,5
City of Milwaukee Ward 180 ,1493,1190,955,216,0,9,4,3
City of Milwaukee Ward 181 ,2012,1657,1288,334,2,15,2,10
City of Milwaukee Ward 182 ,2064,1628,1328,259,3,22,2,10
City of Milwaukee Ward 183 ,3071,2456,1918,482,1,42,1,12
City of Milwaukee Ward 184 ,1842,1509,1106,363,1,21,2,9
City of Milwaukee Ward 185 ,2603,2015,1531,422,3,36,1,15
City of Milwaukee Ward 186 ,3072,2544,1795,696,3,37,1,9
City of Milwaukee Ward 187 ,939,735,573,147,1,5,0,7
City of Milwaukee Ward 188 ,728,570,429,127,1,9,2,2
City of Milwaukee Ward 189 ,964,783,621,137,1,13,0,3
City of Milwaukee Ward 190 ,1448,918,685,218,0,12,1,0
City of Milwaukee Ward 191 ,932,550,399,141,2,6,2,0
City of Milwaukee Ward 192 ,1307,829,657,152,1,15,2,2
City of Milwaukee Ward 193 ,818,562,491,62,1,3,1,1
City of Milwaukee Ward 194 ,714,502,425,55,2,7,3,6
City of Milwaukee Ward 195 ,665,426,382,38,1,2,1,2
City of Milwaukee Ward 196 ,1065,723,631,79,2,3,2,2
City of Milwaukee Ward 197 ,436,316,266,45,0,1,2,2
City of Milwaukee Ward 198 ,1087,618,543,69,0,2,2,0
City of Milwaukee Ward 199 ,698,502,459,33,1,4,0,3
City of Milwaukee Ward 200 ,509,387,333,47,0,3,1,3
City of Milwaukee Ward 201 ,510,344,292,44,2,0,0,2
City of Milwaukee Ward 202 ,943,780,636,133,0,3,1,6
City of Milwaukee Ward 203 ,1176,1017,807,192,2,10,2,4
City of Milwaukee Ward 204 ,1036,879,678,186,1,8,3,3
