,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
"V. Hales Corners Wards 7,8,9  ",1646,1559,763,772,5,7,1,4
"C. Oak Creek Wards 1,2,3 ",3748,3533,1701,1744,6,55,10,6
"C. Oak Creek Wards 4,5,6 ",3714,3463,1777,1607,8,46,3,12
"C. Oak Creek Wards 7,8,9 ",3708,3470,1652,1758,4,30,3,14
"C. Oak Creek Wards 10,11,12 ",4045,3770,1596,2090,8,48,6,10
"C. Oak Creek Wards 13,14,15 ",3878,3670,1559,2056,3,37,1,8
"C. Oak Creek Wards 16,17,18,19 ",3262,2934,1565,1307,5,38,2,12
"V. River Hills Wards 1,2,3 ",1365,1266,715,535,1,4,0,4
"C. St. Francis Wards 1,2,3,4  ",1912,1693,966,688,2,25,0,7
"C. St. Francis Wards 5,6,7,8  ",2000,1823,1045,742,4,21,3,3
"C. St. Francis Wards 9,10,11,1 ",2381,2209,1370,807,2,22,3,2
"V. Shorewood Wards 1,2,3,4 ",3902,3519,2851,606,7,34,3,8
"V. Shorewood Wards 5,6,7,8 ",3266,2944,2460,435,0,19,2,23
"V. Shorewood Wards 9,10,11,12  ",3131,2853,2389,419,0,23,7,7
"C. So. Milw. Wards 1,2,3,4 ",3080,2830,1502,1252,6,49,5,10
"C. So. Milw. Wards 5,6,7,8 ",2767,2471,1240,1179,3,34,2,6
"C. So. Milw. Wards 9,10,11,12  ",3418,3159,1543,1570,3,24,4,10
"C. So. Milw. Wards 13,14,15,16 ",3073,2766,1354,1345,3,39,1,11
City of Wauwatosa Ward 1 ,1418,1314,935,352,2,15,4,5
City of Wauwatosa Ward 2 ,1451,1328,1006,298,1,12,2,2
City of Wauwatosa Ward 3 ,1572,1407,981,401,0,13,3,6
City of Wauwatosa Ward 4 ,2060,1900,1264,589,0,28,4,8
City of Wauwatosa Ward 5 ,1260,1101,747,333,0,13,1,1
City of Wauwatosa Ward 6 ,1158,1027,733,267,1,12,4,2
City of Wauwatosa Ward 7 ,1716,1566,1018,509,1,23,3,8
City of Wauwatosa Ward 8 ,824,699,414,276,1,1,5,1
City of Wauwatosa Ward 9 ,1624,1448,783,631,2,23,3,5
City of Wauwatosa Ward 10 ,1555,1427,1009,379,0,23,5,9
City of Wauwatosa Ward 11 ,1485,1339,942,370,0,13,6,4
City of Wauwatosa Ward 12 ,1710,1586,1009,540,2,17,3,7
City of Wauwatosa Ward 13 ,821,738,538,175,0,18,2,1
City of Wauwatosa Ward 14 ,1540,1388,1019,333,3,20,2,9
City of Wauwatosa Ward 15 ,1631,1490,1128,325,3,24,1,5
City of Wauwatosa Ward 16 ,1714,1595,1056,489,2,26,7,10
City of Wauwatosa Ward 17 ,1454,1357,796,527,0,14,4,8
City of Wauwatosa Ward 18 ,1283,1138,756,369,0,9,2,1
City of Wauwatosa Ward 19 ,1435,1317,836,455,2,19,0,3
City of Wauwatosa Ward 20 ,1886,1721,998,686,3,17,5,7
City of Wauwatosa Ward 21 ,1295,1170,683,459,5,14,4,2
City of Wauwatosa Ward 22 ,1457,1382,859,484,3,23,1,7
City of Wauwatosa Ward 23 ,1333,1219,668,519,5,13,4,6
City of Wauwatosa Ward 24 ,1213,1063,702,338,1,9,3,5
City of West Allis Ward 1 ,1097,878,552,302,1,17,0,3
City of West Allis Ward 2 ,1475,1223,837,365,0,15,1,4
City of West Allis Ward 3 ,1039,829,522,280,1,17,2,5
City of West Allis Ward 4 ,1476,1226,714,488,3,12,0,8
City of West Allis Ward 5 ,1209,1001,585,401,1,10,2,1
City of West Allis Ward 6 ,1173,922,490,399,0,21,1,5
City of West Allis Ward 7 ,1414,1180,675,470,2,19,4,5
City of West Allis Ward 8 ,1183,932,565,337,4,13,3,3
City of West Allis Ward 9 ,1541,1285,735,523,2,15,1,4
City of West Allis Ward 10 ,1365,1109,671,414,2,15,2,3
City of West Allis Ward 11 ,1622,1406,702,679,3,11,3,4
City of West Allis Ward 12 ,1456,1267,582,663,2,16,1,1
City of West Allis Ward 13 ,1904,1719,843,829,2,37,2,2
City of West Allis Ward 14 ,1140,910,531,355,0,13,3,4
City of West Allis Ward 15 ,1195,988,527,433,4,18,2,2
City of West Allis Ward 16 ,1167,1000,496,473,1,14,3,9
City of West Allis Ward 17 ,1574,1350,680,641,1,13,6,7
City of West Allis Ward 18 ,1811,1556,754,771,4,19,2,0
City of West Allis Ward 19 ,1646,1418,736,649,5,12,2,6
City of West Allis Ward 20 ,1172,1028,559,453,1,7,2,2
City of West Allis Ward 21 ,1504,1279,683,572,0,16,3,5
City of West Allis Ward 22 ,1231,992,566,410,1,9,1,3
City of West Allis Ward 23 ,1648,1441,686,730,0,17,0,7
City of West Allis Ward 24 ,1096,924,552,357,2,8,0,3
City of West Allis Ward 25 ,1517,1372,654,686,1,20,1,3
"V. West Milwaukee Wards 1,2,5  ",977,784,519,249,2,6,2,3
"V. West Milwaukee Wards 3,4,6  ",1048,921,611,290,2,14,1,2
"V. Whitefish Bay Wards 1,2 ",1753,1630,1044,550,0,11,0,9
"V. Whitefish Bay Wards 3,4 ",1642,1518,1052,437,0,12,1,6
"V. Whitefish Bay Wards 5,6 ",1849,1678,1148,501,0,7,4,8
V. Whitefish Bay Ward 7 ,919,837,614,208,1,3,2,5
"V. Whitefish Bay Wards 8,10 ",2031,1847,1344,483,1,13,1,2
"V. Whitefish Bay Wards 9,11 ",1807,1619,1211,378,1,21,2,2
V. Whitefish Bay Ward 12 ,1068,998,667,310,2,14,0,4
