,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of Milwaukee Ward 107 ,588,10,1,2,1,2,
City of Milwaukee Ward 108 ,576,26,1,2,0,7,
City of Milwaukee Ward 109 ,614,18,0,0,2,2,
City of Milwaukee Ward 110 ,324,11,1,3,1,0,
City of Milwaukee Ward 111 ,461,15,0,1,1,4,
City of Milwaukee Ward 112 ,577,18,2,1,1,2,
City of Milwaukee Ward 113 ,482,22,0,2,3,2,
City of Milwaukee Ward 114 ,470,16,1,4,1,2,
City of Milwaukee Ward 115 ,789,19,0,5,2,0,
City of Milwaukee Ward 116 ,395,10,0,0,1,1,
City of Milwaukee Ward 117 ,465,9,0,3,2,2,
City of Milwaukee Ward 118 ,539,24,1,1,2,2,
City of Milwaukee Ward 119 ,550,17,0,2,1,4,
City of Milwaukee Ward 120 ,447,20,0,3,0,0,
City of Milwaukee Ward 121 ,612,33,0,0,5,2,
City of Milwaukee Ward 122 ,630,33,0,2,1,2,
City of Milwaukee Ward 123 ,810,76,0,6,4,6,
City of Milwaukee Ward 124 ,539,52,2,8,1,3,
City of Milwaukee Ward 125 ,1012,121,1,5,1,9,
City of Milwaukee Ward 126 ,815,73,1,8,3,8,
City of Milwaukee Ward 127 ,1016,209,1,13,1,7,
City of Milwaukee Ward 128 ,1056,227,0,22,2,10,
City of Milwaukee Ward 129 ,809,162,0,11,0,5,
City of Milwaukee Ward 130 ,267,78,0,5,0,2,
City of Milwaukee Ward 131 ,864,267,2,6,0,4,
City of Milwaukee Ward 132 ,1255,359,1,12,0,6,
City of Milwaukee Ward 133 ,710,100,1,13,2,4,
City of Milwaukee Ward 134 ,759,117,2,20,2,8,
City of Milwaukee Ward 135 ,1076,164,2,18,1,10,
City of Milwaukee Ward 136 ,738,121,2,14,0,10,
City of Milwaukee Ward 137 ,558,83,1,7,2,8,
City of Milwaukee Ward 138 ,1773,129,2,14,4,17,
City of Milwaukee Ward 139 ,1177,99,2,11,5,11,
City of Milwaukee Ward 140 ,343,25,0,2,1,1,
City of Milwaukee Ward 141 ,531,28,0,0,2,6,
City of Milwaukee Ward 142 ,598,21,2,3,2,4,
City of Milwaukee Ward 143 ,448,18,0,0,1,2,
City of Milwaukee Ward 144 ,334,6,0,0,2,2,
City of Milwaukee Ward 145 ,200,5,0,1,4,1,
City of Milwaukee Ward 146 ,179,6,0,1,2,0,
City of Milwaukee Ward 147 ,700,23,1,3,0,0,
City of Milwaukee Ward 148 ,524,22,1,1,1,3,
City of Milwaukee Ward 149 ,632,34,0,2,2,1,
City of Milwaukee Ward 150 ,553,32,3,3,0,0,
City of Milwaukee Ward 151 ,391,15,0,1,2,1,
City of Milwaukee Ward 152 ,332,19,0,2,3,0,
City of Milwaukee Ward 153 ,624,38,0,4,1,2,
City of Milwaukee Ward 154 ,486,26,1,7,0,2,
City of Milwaukee Ward 155 ,433,30,2,3,1,3,
City of Milwaukee Ward 156 ,636,50,1,5,0,4,
City of Milwaukee Ward 157 ,444,46,0,2,2,3,
City of Milwaukee Ward 158 ,429,21,0,5,0,1,
City of Milwaukee Ward 159 ,400,45,1,3,0,1,
City of Milwaukee Ward 160 ,531,14,2,5,0,1,
City of Milwaukee Ward 161 ,181,7,0,2,0,0,
City of Milwaukee Ward 162 ,320,26,0,1,1,1,
City of Milwaukee Ward 163 ,576,35,1,2,0,1,
City of Milwaukee Ward 164 ,696,92,0,3,0,0,
City of Milwaukee Ward 165 ,623,137,0,7,1,4,
City of Milwaukee Ward 166 ,277,34,1,1,1,3,
City of Milwaukee Ward 167 ,659,135,2,7,4,7,
City of Milwaukee Ward 168 ,1204,265,0,21,1,10,
City of Milwaukee Ward 169 ,406,35,1,0,1,2,
City of Milwaukee Ward 170 ,317,50,0,3,1,3,
City of Milwaukee Ward 171 ,107,36,1,2,0,1,
City of Milwaukee Ward 172 ,399,30,1,1,2,1,
City of Milwaukee Ward 173 ,567,22,1,1,2,3,
City of Milwaukee Ward 174 ,778,39,2,3,2,5,
City of Milwaukee Ward 175 ,522,44,0,2,0,3,
City of Milwaukee Ward 176 ,668,36,0,4,2,2,
City of Milwaukee Ward 177 ,1787,352,3,32,3,7,
City of Milwaukee Ward 178 ,1374,312,2,34,0,5,
City of Milwaukee Ward 179 ,1337,195,1,18,2,5,
City of Milwaukee Ward 180 ,955,216,0,9,4,3,
City of Milwaukee Ward 181 ,1288,334,2,15,2,10,
City of Milwaukee Ward 182 ,1328,259,3,22,2,10,
City of Milwaukee Ward 183 ,1918,482,1,42,1,12,
City of Milwaukee Ward 184 ,1106,363,1,21,2,9,
City of Milwaukee Ward 185 ,1531,422,3,36,1,15,
City of Milwaukee Ward 186 ,1795,696,3,37,1,9,
City of Milwaukee Ward 187 ,573,147,1,5,0,7,
City of Milwaukee Ward 188 ,429,127,1,9,2,2,
City of Milwaukee Ward 189 ,621,137,1,13,0,3,
City of Milwaukee Ward 190 ,685,218,0,12,1,0,
City of Milwaukee Ward 191 ,399,141,2,6,2,0,
City of Milwaukee Ward 192 ,657,152,1,15,2,2,
City of Milwaukee Ward 193 ,491,62,1,3,1,1,
City of Milwaukee Ward 194 ,425,55,2,7,3,6,
City of Milwaukee Ward 195 ,382,38,1,2,1,2,
City of Milwaukee Ward 196 ,631,79,2,3,2,2,
City of Milwaukee Ward 197 ,266,45,0,1,2,2,
City of Milwaukee Ward 198 ,543,69,0,2,2,0,
City of Milwaukee Ward 199 ,459,33,1,4,0,3,
City of Milwaukee Ward 200 ,333,47,0,3,1,3,
City of Milwaukee Ward 201 ,292,44,2,0,0,2,
City of Milwaukee Ward 202 ,636,133,0,3,1,6,
City of Milwaukee Ward 203 ,807,192,2,10,2,4,
City of Milwaukee Ward 204 ,678,186,1,8,3,3,
City of Milwaukee Ward 205 ,572,197,1,15,3,4,
City of Milwaukee Ward 206 ,479,163,1,9,0,2,
City of Milwaukee Ward 207 ,446,270,2,8,3,1,
City of Milwaukee Ward 208 ,512,302,1,14,1,4,
City of Milwaukee Ward 209 ,453,295,3,5,2,4,
City of Milwaukee Ward 210 ,355,315,2,12,1,4,
City of Milwaukee Ward 211 ,461,285,1,15,4,4,
City of Milwaukee Ward 212 ,514,310,2,12,0,4,
City of Milwaukee Ward 213 ,569,294,2,14,3,1,
City of Milwaukee Ward 214 ,335,100,3,3,0,0,
City of Milwaukee Ward 215 ,299,79,1,2,1,1,
City of Milwaukee Ward 216 ,243,65,1,2,0,3,
City of Milwaukee Ward 217 ,506,164,1,5,3,6,
City of Milwaukee Ward 218 ,569,155,0,4,2,3,
City of Milwaukee Ward 219 ,391,111,1,4,1,1,
City of Milwaukee Ward 220 ,424,95,1,2,1,1,
City of Milwaukee Ward 221 ,759,219,2,5,2,2,
City of Milwaukee Ward 222 ,460,128,1,3,1,2,
City of Milwaukee Ward 223 ,498,156,1,5,1,0,
City of Milwaukee Ward 224 ,350,107,1,6,4,2,
City of Milwaukee Ward 225 ,350,101,0,6,2,0,
City of Milwaukee Ward 226 ,210,42,0,0,0,0,
City of Milwaukee Ward 227 ,589,107,3,4,1,4,
City of Milwaukee Ward 228 ,291,67,2,1,1,2,
City of Milwaukee Ward 229 ,272,62,0,2,1,0,
City of Milwaukee Ward 230 ,467,110,1,3,2,5,
City of Milwaukee Ward 231 ,204,62,1,3,0,1,
City of Milwaukee Ward 232 ,180,43,0,3,2,0,
City of Milwaukee Ward 233 ,173,32,1,0,0,0,
City of Milwaukee Ward 234 ,458,114,1,7,1,2,
City of Milwaukee Ward 235 ,1391,339,3,23,1,8,
City of Milwaukee Ward 236 ,367,75,1,4,2,1,
City of Milwaukee Ward 237 ,490,91,2,5,1,3,
City of Milwaukee Ward 238 ,368,113,3,4,0,1,
City of Milwaukee Ward 239 ,349,88,1,1,0,2,
City of Milwaukee Ward 240 ,464,97,3,5,2,6,
City of Milwaukee Ward 241 ,1040,227,0,24,2,3,
City of Milwaukee Ward 242 ,740,159,2,7,2,10,
City of Milwaukee Ward 243 ,852,215,1,10,0,5,
City of Milwaukee Ward 244 ,699,152,0,5,0,6,
City of Milwaukee Ward 245 ,556,135,2,9,0,0,
City of Milwaukee Ward 246 ,1030,206,1,15,3,8,
City of Milwaukee Ward 247 ,480,142,1,8,0,3,
City of Milwaukee Ward 248 ,1006,229,1,15,2,8,
City of Milwaukee Ward 249 ,282,79,0,4,0,0,
