Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
30,415,392,94.46%,19,4.58%,2,0.48%,1,0.24%,0,0%,1,0.24%
31,491,460,93.69%,28,5.70%,2,0.41%,1,0.20%,0,0%,0,0%
32,379,355,93.67%,22,5.80%,0,0%,2,0.53%,0,0%,0,0%
33,477,446,93.50%,26,5.45%,4,0.84%,0,0%,1,0.21%,0,0%
34,380,360,94.74%,15,3.95%,1,0.26%,2,0.53%,1,0.26%,1,0.26%
35,409,391,95.60%,14,3.42%,1,0.24%,0,0%,0,0%,3,0.73%
36,409,386,94.38%,20,4.89%,1,0.24%,1,0.24%,1,0.24%,0,0%
37,473,438,92.60%,28,5.92%,4,0.85%,2,0.42%,1,0.21%,0,0%
38,457,425,93.00%,28,6.13%,2,0.44%,1,0.22%,0,0%,1,0.22%
39,406,382,94.09%,21,5.17%,2,0.49%,1,0.25%,0,0%,0,0%
40,452,430,95.13%,20,4.42%,2,0.44%,0,0%,0,0%,0,0%
41,459,425,92.59%,27,5.88%,4,0.87%,2,0.44%,1,0.22%,0,0%
Total,16823,15633,92.93%,1017,6.05%,75,0.45%,42,0.25%,24,0.14%,32,0.19%
,,,,,,,,,,,,,
Ward 38,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,502,362,72.11%,120,23.90%,6,1.20%,2,0.40%,5,1.00%,7,1.39%
2,613,207,33.77%,401,65.42%,3,0.49%,0,0%,0,0%,2,0.33%
3,609,324,53.20%,279,45.81%,4,0.66%,0,0%,0,0%,2,0.33%
4,572,298,52.10%,261,45.63%,3,0.52%,2,0.35%,4,0.70%,4,0.70%
5,604,336,55.63%,260,43.05%,4,0.66%,1,0.17%,0,0%,3,0.50%
