Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
14,645,417,64.65%,211,32.71%,3,0.47%,0,0%,1,0.16%,13,2.02%
15,765,432,56.47%,316,41.31%,4,0.52%,1,0.13%,2,0.26%,10,1.31%
16,591,301,50.93%,282,47.72%,5,0.85%,0,0%,1,0.17%,2,0.34%
17,553,309,55.88%,239,43.22%,2,0.36%,0,0%,1,0.18%,2,0.36%
18,570,307,53.86%,257,45.09%,2,0.35%,1,0.18%,1,0.18%,2,0.35%
19,666,425,63.81%,217,32.58%,8,1.20%,2,0.30%,1,0.15%,13,1.95%
20,441,219,49.66%,211,47.85%,2,0.45%,0,0%,0,0%,9,2.04%
21,596,317,53.19%,273,45.81%,0,0%,0,0%,0,0%,6,1.01%
22,664,333,50.15%,323,48.64%,1,0.15%,0,0%,1,0.15%,6,0.90%
23,660,236,35.76%,417,63.18%,1,0.15%,0,0%,3,0.45%,3,0.45%
24,599,258,43.07%,327,54.59%,3,0.50%,1,0.17%,3,0.50%,7,1.17%
25,648,311,47.99%,329,50.77%,5,0.77%,1,0.15%,0,0%,2,0.31%
26,531,281,52.92%,236,44.44%,0,0%,0,0%,1,0.19%,13,2.45%
27,640,264,41.25%,369,57.66%,2,0.31%,1,0.16%,0,0%,4,0.63%
28,703,415,59.03%,279,39.69%,4,0.57%,1,0.14%,1,0.14%,3,0.43%
29,562,273,48.58%,284,50.53%,2,0.36%,0,0%,0,0%,3,0.53%
30,576,325,56.42%,246,42.71%,1,0.17%,0,0%,0,0%,4,0.69%
31,564,332,58.87%,223,39.54%,5,0.89%,0,0%,0,0%,4,0.71%
32,527,267,50.66%,252,47.82%,3,0.57%,0,0%,0,0%,5,0.95%
33,585,282,48.21%,298,50.94%,3,0.51%,0,0%,0,0%,2,0.34%
34,566,268,47.35%,291,51.41%,2,0.35%,0,0%,2,0.35%,3,0.53%
35,755,389,51.52%,355,47.02%,2,0.26%,0,0%,0,0%,9,1.19%
36,610,319,52.30%,281,46.07%,3,0.49%,0,0%,0,0%,7,1.15%
37,681,343,50.37%,326,47.87%,5,0.73%,0,0%,0,0%,7,1.03%
38,610,311,50.98%,290,47.54%,3,0.49%,1,0.16%,1,0.16%,4,0.66%
39,639,340,53.21%,288,45.07%,5,0.78%,0,0%,1,0.16%,5,0.78%
40,694,298,42.94%,390,56.20%,1,0.14%,1,0.14%,0,0%,4,0.58%
41,652,321,49.23%,324,49.69%,2,0.31%,0,0%,0,0%,5,0.77%
42,630,294,46.67%,326,51.75%,1,0.16%,0,0%,2,0.32%,7,1.11%
43,644,336,52.17%,301,46.74%,2,0.31%,1,0.16%,0,0%,4,0.62%
44,634,279,44.01%,338,53.31%,8,1.26%,1,0.16%,1,0.16%,7,1.10%
45,615,315,51.22%,295,47.97%,4,0.65%,1,0.16%,0,0%,0,0%
46,603,313,51.91%,281,46.60%,3,0.50%,0,0%,2,0.33%,4,0.66%
47,688,380,55.23%,297,43.17%,3,0.44%,0,0%,0,0%,8,1.16%
Total,29466,14990,50.87%,14007,47.54%,142,0.48%,18,0.06%,32,0.11%,277,0.94%
,,,,,,,,,,,,,
Ward 42,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,522,363,69.54%,153,29.31%,2,0.38%,0,0%,0,0%,4,0.77%
2,825,651,78.91%,160,19.39%,2,0.24%,1,0.12%,0,0%,11,1.33%
3,642,528,82.24%,103,16.04%,2,0.31%,0,0%,0,0%,9,1.40%
4,1655,1257,75.95%,378,22.84%,3,0.18%,0,0%,2,0.12%,15,0.91%
5,560,436,77.86%,113,20.18%,1,0.18%,0,0%,0,0%,10,1.79%
6,627,452,72.09%,165,26.32%,4,0.64%,1,0.16%,0,0%,5,0.80%
7,775,587,75.74%,174,22.45%,3,0.39%,1,0.13%,1,0.13%,9,1.16%
8,546,424,77.66%,118,21.61%,1,0.18%,0,0%,0,0%,3,0.55%
9,866,704,81.29%,146,16.86%,5,0.58%,0,0%,2,0.23%,9,1.04%
10,909,689,75.80%,197,21.67%,7,0.77%,5,0.55%,0,0%,11,1.21%
11,448,310,69.20%,130,29.02%,2,0.45%,0,0%,1,0.22%,5,1.12%
12,566,406,71.73%,153,27.03%,1,0.18%,0,0%,0,0%,6,1.06%
13,524,368,70.23%,148,28.24%,2,0.38%,3,0.57%,0,0%,3,0.57%
14,952,720,75.63%,210,22.06%,2,0.21%,0,0%,3,0.32%,17,1.79%
15,943,685,72.64%,246,26.09%,3,0.32%,0,0%,1,0.11%,8,0.85%
16,693,547,78.93%,130,18.76%,2,0.29%,1,0.14%,3,0.43%,10,1.44%
17,1094,785,71.76%,289,26.42%,4,0.37%,0,0%,0,0%,16,1.46%
18,863,673,77.98%,172,19.93%,5,0.58%,0,0%,0,0%,13,1.51%
19,852,622,73.00%,218,25.59%,0,0%,0,0%,1,0.12%,11,1.29%
20,874,630,72.08%,229,26.20%,1,0.11%,0,0%,0,0%,14,1.60%
21,808,681,84.28%,117,14.48%,3,0.37%,0,0%,0,0%,7,0.87%
22,387,280,72.35%,100,25.84%,0,0%,0,0%,1,0.26%,6,1.55%
23,761,537,70.57%,217,28.52%,2,0.26%,0,0%,0,0%,5,0.66%
24,602,439,72.92%,152,25.25%,5,0.83%,1,0.17%,0,0%,5,0.83%
25,826,584,70.70%,232,28.09%,2,0.24%,4,0.48%,0,0%,4,0.48%
26,1155,853,73.85%,289,25.02%,2,0.17%,0,0%,2,0.17%,9,0.78%
27,484,361,74.59%,116,23.97%,2,0.41%,1,0.21%,0,0%,4,0.83%
28,664,495,74.55%,164,24.70%,1,0.15%,0,0%,0,0%,4,0.60%
29,820,595,72.56%,211,25.73%,2,0.24%,0,0%,0,0%,12,1.46%
30,514,387,75.29%,124,24.12%,0,0%,0,0%,0,0%,3,0.58%
31,836,618,73.92%,205,24.52%,3,0.36%,0,0%,3,0.36%,7,0.84%
32,838,614,73.27%,209,24.94%,2,0.24%,1,0.12%,0,0%,12,1.43%
33,741,609,82.19%,117,15.79%,4,0.54%,1,0.13%,1,0.13%,9,1.21%
34,534,382,71.54%,143,26.78%,4,0.75%,0,0%,0,0%,5,0.94%
35,857,680,79.35%,160,18.67%,2,0.23%,0,0%,0,0%,15,1.75%
36,1150,876,76.17%,246,21.39%,3,0.26%,0,0%,0,0%,25,2.17%
37,532,388,72.93%,129,24.25%,0,0%,0,0%,2,0.38%,13,2.44%
38,690,501,72.61%,176,25.51%,2,0.29%,1,0.14%,0,0%,10,1.45%
39,1225,936,76.41%,272,22.20%,3,0.24%,0,0%,1,0.08%,13,1.06%
40,976,753,77.15%,207,21.21%,2,0.20%,0,0%,0,0%,14,1.43%
41,668,532,79.64%,128,19.16%,2,0.30%,0,0%,0,0%,6,0.90%
42,1185,962,81.18%,201,16.96%,4,0.34%,1,0.08%,0,0%,17,1.43%
Total,32989,24900,75.48%,7547,22.88%,102,0.31%,22,0.07%,24,0.07%,394,1.19%
,,,,,,,,,,,,,
Ward 43,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,335,270,80.60%,60,17.91%,1,0.30%,0,0%,0,0%,4,1.19%
2,701,583,83.17%,106,15.12%,3,0.43%,1,0.14%,0,0%,8,1.14%
3,643,504,78.38%,128,19.91%,2,0.31%,1,0.16%,1,0.16%,7,1.09%
4,818,639,78.12%,164,20.05%,3,0.37%,0,0%,0,0%,12,1.47%
5,599,498,83.14%,90,15.03%,1,0.17%,0,0%,0,0%,10,1.67%
6,497,417,83.90%,66,13.28%,1,0.20%,0,0%,0,0%,13,2.62%
7,415,339,81.69%,66,15.90%,2,0.48%,1,0.24%,0,0%,7,1.69%
8,487,389,79.88%,95,19.51%,3,0.62%,0,0%,0,0%,0,0%
9,647,521,80.53%,115,17.77%,1,0.15%,0,0%,0,0%,10,1.55%
10,804,659,81.97%,124,15.42%,1,0.12%,0,0%,0,0%,20,2.49%
11,612,475,77.61%,126,20.59%,1,0.16%,1,0.16%,2,0.33%,7,1.14%
12,426,356,83.57%,66,15.49%,2,0.47%,0,0%,0,0%,2,0.47%
13,629,529,84.10%,93,14.79%,1,0.16%,1,0.16%,0,0%,5,0.79%
14,622,509,81.83%,98,15.76%,1,0.16%,0,0%,0,0%,14,2.25%
15,679,538,79.23%,128,18.85%,2,0.29%,1,0.15%,0,0%,10,1.47%
16,910,743,81.65%,147,16.15%,2,0.22%,1,0.11%,1,0.11%,16,1.76%
17,483,372,77.02%,102,21.12%,2,0.41%,0,0%,0,0%,7,1.45%
18,744,587,78.90%,144,19.35%,2,0.27%,0,0%,0,0%,11,1.48%
19,661,527,79.73%,123,18.61%,3,0.45%,0,0%,0,0%,8,1.21%
20,764,650,85.08%,97,12.70%,1,0.13%,1,0.13%,1,0.13%,14,1.83%
21,732,577,78.83%,138,18.85%,5,0.68%,1,0.14%,3,0.41%,8,1.09%
22,465,377,81.08%,82,17.63%,1,0.22%,0,0%,0,0%,5,1.08%
23,441,357,80.95%,74,16.78%,3,0.68%,0,0%,0,0%,7,1.59%
24,494,379,76.72%,102,20.65%,2,0.40%,1,0.20%,1,0.20%,9,1.82%
25,553,445,80.47%,101,18.26%,0,0%,0,0%,0,0%,7,1.27%
26,398,335,84.17%,55,13.82%,1,0.25%,1,0.25%,0,0%,6,1.51%
27,579,461,79.62%,111,19.17%,0,0%,0,0%,0,0%,7,1.21%
28,793,619,78.06%,164,20.68%,3,0.38%,1,0.13%,0,0%,6,0.76%
29,902,731,81.04%,153,16.96%,0,0%,2,0.22%,1,0.11%,15,1.66%
30,648,528,81.48%,108,16.67%,2,0.31%,0,0%,0,0%,10,1.54%
31,640,508,79.38%,119,18.59%,5,0.78%,0,0%,0,0%,8,1.25%
32,647,539,83.31%,98,15.15%,4,0.62%,0,0%,0,0%,6,0.93%
33,631,462,73.22%,160,25.36%,3,0.48%,0,0%,0,0%,6,0.95%
34,382,303,79.32%,73,19.11%,1,0.26%,0,0%,0,0%,5,1.31%
35,666,498,74.77%,161,24.17%,1,0.15%,0,0%,0,0%,6,0.90%
36,429,350,81.59%,73,17.02%,0,0%,1,0.23%,1,0.23%,4,0.93%
37,701,586,83.59%,106,15.12%,2,0.29%,0,0%,2,0.29%,5,0.71%
38,493,371,75.25%,114,23.12%,1,0.20%,0,0%,0,0%,7,1.42%
39,471,347,73.67%,111,23.57%,5,1.06%,1,0.21%,0,0%,7,1.49%
40,474,397,83.76%,67,14.14%,5,1.05%,0,0%,2,0.42%,3,0.63%
41,744,614,82.53%,113,15.19%,3,0.40%,1,0.13%,0,0%,13,1.75%
42,591,471,79.70%,106,17.94%,3,0.51%,0,0%,1,0.17%,10,1.69%
43,681,500,73.42%,170,24.96%,1,0.15%,1,0.15%,1,0.15%,8,1.17%
44,640,516,80.63%,109,17.03%,3,0.47%,2,0.31%,0,0%,10,1.56%
45,359,293,81.62%,60,16.71%,1,0.28%,0,0%,0,0%,5,1.39%
46,388,335,86.34%,50,12.89%,0,0%,0,0%,1,0.26%,2,0.52%
Total,27418,22004,80.25%,4916,17.93%,90,0.33%,20,0.07%,18,0.07%,370,1.35%
,,,,,,,,,,,,,
Ward 44,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,968,848,87.60%,103,10.64%,7,0.72%,1,0.10%,0,0%,9,0.93%
2,722,604,83.66%,99,13.71%,3,0.42%,0,0%,2,0.28%,14,1.94%
3,383,324,84.60%,57,14.88%,0,0%,0,0%,0,0%,2,0.52%
4,548,468,85.40%,72,13.14%,1,0.18%,0,0%,2,0.36%,5,0.91%
5,651,574,88.17%,63,9.68%,0,0%,2,0.31%,1,0.15%,11,1.69%
6,890,771,86.63%,100,11.24%,6,0.67%,2,0.22%,0,0%,11,1.24%
7,484,377,77.89%,98,20.25%,3,0.62%,0,0%,0,0%,6,1.24%
8,926,819,88.44%,87,9.40%,7,0.76%,1,0.11%,0,0%,12,1.30%
9,714,603,84.45%,97,13.59%,1,0.14%,1,0.14%,1,0.14%,11,1.54%
10,748,641,85.70%,83,11.10%,6,0.80%,1,0.13%,0,0%,17,2.27%
11,797,663,83.19%,122,15.31%,3,0.38%,0,0%,1,0.13%,8,1.00%
12,708,593,83.76%,105,14.83%,1,0.14%,1,0.14%,0,0%,8,1.13%
13,605,505,83.47%,85,14.05%,3,0.50%,0,0%,1,0.17%,11,1.82%
14,649,560,86.29%,77,11.86%,2,0.31%,1,0.15%,0,0%,9,1.39%
15,632,524,82.91%,100,15.82%,1,0.16%,1,0.16%,1,0.16%,5,0.79%
16,774,669,86.43%,91,11.76%,1,0.13%,0,0%,1,0.13%,12,1.55%
17,918,820,89.32%,87,9.48%,4,0.44%,0,0%,0,0%,7,0.76%
18,800,671,83.88%,116,14.50%,3,0.38%,1,0.13%,0,0%,9,1.13%
19,831,731,87.97%,94,11.31%,0,0%,0,0%,1,0.12%,5,0.60%
20,827,715,86.46%,91,11.00%,1,0.12%,4,0.48%,2,0.24%,14,1.69%
21,815,735,90.18%,63,7.73%,4,0.49%,1,0.12%,0,0%,12,1.47%
22,652,567,86.96%,76,11.66%,1,0.15%,1,0.15%,0,0%,7,1.07%
23,650,577,88.77%,60,9.23%,2,0.31%,1,0.15%,0,0%,10,1.54%
24,497,416,83.70%,74,14.89%,4,0.80%,0,0%,0,0%,3,0.60%
25,731,648,88.65%,74,10.12%,1,0.14%,0,0%,0,0%,8,1.09%
26,838,741,88.42%,82,9.79%,2,0.24%,1,0.12%,0,0%,12,1.43%
27,810,691,85.31%,92,11.36%,3,0.37%,0,0%,1,0.12%,23,2.84%
28,741,641,86.50%,90,12.15%,2,0.27%,0,0%,0,0%,8,1.08%
29,810,693,85.56%,100,12.35%,4,0.49%,0,0%,0,0%,13,1.60%
30,835,730,87.43%,93,11.14%,3,0.36%,1,0.12%,0,0%,8,0.96%
31,632,502,79.43%,108,17.09%,4,0.63%,1,0.16%,0,0%,17,2.69%
32,812,670,82.51%,121,14.90%,4,0.49%,2,0.25%,1,0.12%,14,1.72%
33,713,650,91.16%,52,7.29%,3,0.42%,2,0.28%,0,0%,6,0.84%
34,726,654,90.08%,66,9.09%,1,0.14%,0,0%,2,0.28%,3,0.41%
35,783,655,83.65%,113,14.43%,5,0.64%,2,0.26%,0,0%,8,1.02%
36,737,643,87.25%,84,11.40%,2,0.27%,0,0%,0,0%,8,1.09%
37,746,682,91.42%,57,7.64%,1,0.13%,0,0%,1,0.13%,5,0.67%
38,870,689,79.20%,159,18.28%,5,0.57%,2,0.23%,0,0%,15,1.72%
39,733,621,84.72%,98,13.37%,2,0.27%,1,0.14%,2,0.27%,9,1.23%
40,704,589,83.66%,98,13.92%,2,0.28%,1,0.14%,1,0.14%,13,1.85%
41,915,787,86.01%,111,12.13%,6,0.66%,0,0%,0,0%,11,1.20%
Total,30325,26061,85.94%,3698,12.19%,114,0.38%,32,0.11%,21,0.07%,399,1.32%
,,,,,,,,,,,,,
Ward 45,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,471,407,86.41%,49,10.40%,5,1.06%,3,0.64%,0,0%,7,1.49%
2,580,504,86.90%,64,11.03%,4,0.69%,1,0.17%,2,0.34%,5,0.86%
3,535,436,81.50%,90,16.82%,3,0.56%,2,0.37%,1,0.19%,3,0.56%
4,695,541,77.84%,128,18.42%,12,1.73%,0,0%,3,0.43%,11,1.58%
5,613,493,80.42%,108,17.62%,4,0.65%,1,0.16%,0,0%,7,1.14%
6,775,634,81.81%,128,16.52%,2,0.26%,0,0%,2,0.26%,9,1.16%
7,837,657,78.49%,163,19.47%,8,0.96%,0,0%,1,0.12%,8,0.96%
8,595,458,76.97%,128,21.51%,1,0.17%,1,0.17%,4,0.67%,3,0.50%
9,605,454,75.04%,141,23.31%,3,0.50%,1,0.17%,1,0.17%,5,0.83%
10,609,429,70.44%,169,27.75%,4,0.66%,3,0.49%,2,0.33%,2,0.33%
11,448,328,73.21%,115,25.67%,1,0.22%,0,0%,1,0.22%,3,0.67%
12,561,400,71.30%,142,25.31%,8,1.43%,2,0.36%,1,0.18%,8,1.43%
13,495,377,76.16%,101,20.40%,8,1.62%,2,0.40%,1,0.20%,6,1.21%
14,822,612,74.45%,195,23.72%,4,0.49%,3,0.36%,3,0.36%,5,0.61%
15,669,520,77.73%,141,21.08%,5,0.75%,0,0%,1,0.15%,2,0.30%
16,485,353,72.78%,126,25.98%,2,0.41%,1,0.21%,0,0%,3,0.62%
17,672,449,66.82%,208,30.95%,1,0.15%,5,0.74%,2,0.30%,7,1.04%
18,654,421,64.37%,215,32.87%,5,0.76%,3,0.46%,1,0.15%,9,1.38%
19,355,241,67.89%,108,30.42%,2,0.56%,2,0.56%,0,0%,2,0.56%
20,423,302,71.39%,109,25.77%,5,1.18%,2,0.47%,1,0.24%,4,0.95%
21,547,344,62.89%,202,36.93%,0,0%,1,0.18%,0,0%,0,0%
22,567,373,65.78%,184,32.45%,4,0.71%,3,0.53%,0,0%,3,0.53%
23,576,349,60.59%,214,37.15%,6,1.04%,0,0%,2,0.35%,5,0.87%
24,483,282,58.39%,193,39.96%,4,0.83%,1,0.21%,0,0%,3,0.62%
25,387,219,56.59%,160,41.34%,5,1.29%,1,0.26%,1,0.26%,1,0.26%
26,332,175,52.71%,153,46.08%,0,0%,0,0%,0,0%,4,1.20%
27,588,327,55.61%,250,42.52%,2,0.34%,0,0%,0,0%,9,1.53%
28,508,317,62.40%,185,36.42%,3,0.59%,1,0.20%,0,0%,2,0.39%
29,403,234,58.06%,165,40.94%,1,0.25%,0,0%,1,0.25%,2,0.50%
30,550,421,76.55%,122,22.18%,3,0.55%,2,0.36%,0,0%,2,0.36%
31,486,355,73.05%,124,25.51%,3,0.62%,2,0.41%,0,0%,2,0.41%
32,557,382,68.58%,168,30.16%,1,0.18%,0,0%,0,0%,6,1.08%
33,408,304,74.51%,100,24.51%,1,0.25%,0,0%,0,0%,3,0.74%
34,587,403,68.65%,174,29.64%,4,0.68%,1,0.17%,1,0.17%,4,0.68%
35,639,447,69.95%,180,28.17%,3,0.47%,1,0.16%,0,0%,8,1.25%
36,611,393,64.32%,207,33.88%,2,0.33%,2,0.33%,1,0.16%,6,0.98%
37,587,357,60.82%,216,36.80%,3,0.51%,4,0.68%,0,0%,7,1.19%
38,590,387,65.59%,199,33.73%,1,0.17%,0,0%,0,0%,3,0.51%
39,585,349,59.66%,227,38.80%,4,0.68%,0,0%,0,0%,5,0.85%
40,538,320,59.48%,207,38.48%,5,0.93%,0,0%,1,0.19%,5,0.93%
41,542,317,58.49%,214,39.48%,3,0.55%,0,0%,0,0%,8,1.48%
42,544,312,57.35%,226,41.54%,4,0.74%,0,0%,0,0%,2,0.37%
43,611,317,51.88%,282,46.15%,3,0.49%,1,0.16%,2,0.33%,6,0.98%
44,559,309,55.28%,238,42.58%,3,0.54%,0,0%,1,0.18%,8,1.43%
45,409,209,51.10%,194,47.43%,1,0.24%,0,0%,0,0%,5,1.22%
46,455,237,52.09%,208,45.71%,4,0.88%,0,0%,0,0%,6,1.32%
47,439,236,53.76%,194,44.19%,4,0.91%,0,0%,1,0.23%,4,0.91%
48,500,239,47.80%,249,49.80%,4,0.80%,0,0%,0,0%,8,1.60%
Total,26487,17930,67.69%,8063,30.44%,168,0.63%,52,0.20%,38,0.14%,236,0.89%
,,,,,,,,,,,,,
Ward 46,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,469,404,86.14%,56,11.94%,3,0.64%,2,0.43%,0,0%,4,0.85%
2,590,532,90.17%,49,8.31%,2,0.34%,3,0.51%,0,0%,4,0.68%
3,750,653,87.07%,89,11.87%,1,0.13%,1,0.13%,0,0%,6,0.80%
4,585,525,89.74%,48,8.21%,3,0.51%,2,0.34%,0,0%,7,1.20%
5,826,721,87.29%,87,10.53%,6,0.73%,2,0.24%,1,0.12%,9,1.09%
6,622,537,86.33%,73,11.74%,3,0.48%,5,0.80%,0,0%,4,0.64%
7,695,580,83.45%,107,15.40%,2,0.29%,5,0.72%,0,0%,1,0.14%
8,473,417,88.16%,48,10.15%,3,0.63%,3,0.63%,0,0%,2,0.42%
9,675,614,90.96%,44,6.52%,4,0.59%,5,0.74%,0,0%,8,1.19%
10,1109,978,88.19%,107,9.65%,10,0.90%,0,0%,0,0%,14,1.26%
11,686,521,75.95%,154,22.45%,2,0.29%,4,0.58%,0,0%,5,0.73%
12,638,581,91.07%,46,7.21%,3,0.47%,1,0.16%,0,0%,7,1.10%
13,656,580,88.41%,69,10.52%,1,0.15%,0,0%,0,0%,6,0.91%
14,781,677,86.68%,99,12.68%,1,0.13%,1,0.13%,0,0%,3,0.38%
15,673,584,86.78%,82,12.18%,1,0.15%,0,0%,0,0%,6,0.89%
16,674,606,89.91%,44,6.53%,6,0.89%,6,0.89%,2,0.30%,10,1.48%
17,723,599,82.85%,111,15.35%,6,0.83%,0,0%,0,0%,7,0.97%
18,766,627,81.85%,125,16.32%,5,0.65%,4,0.52%,0,0%,5,0.65%
19,450,369,82.00%,74,16.44%,0,0%,1,0.22%,1,0.22%,5,1.11%
20,543,486,89.50%,50,9.21%,3,0.55%,0,0%,0,0%,4,0.74%
21,505,396,78.42%,103,20.40%,2,0.40%,1,0.20%,0,0%,3,0.59%
22,482,426,88.38%,43,8.92%,4,0.83%,4,0.83%,2,0.41%,3,0.62%
23,547,499,91.22%,43,7.86%,4,0.73%,0,0%,0,0%,1,0.18%
24,826,709,85.84%,107,12.95%,4,0.48%,1,0.12%,1,0.12%,4,0.48%
25,567,516,91.01%,45,7.94%,2,0.35%,2,0.35%,0,0%,2,0.35%
26,907,819,90.30%,76,8.38%,8,0.88%,2,0.22%,0,0%,2,0.22%
27,817,720,88.13%,75,9.18%,7,0.86%,4,0.49%,1,0.12%,10,1.22%
28,579,491,84.80%,82,14.16%,1,0.17%,0,0%,1,0.17%,4,0.69%
29,510,428,83.92%,75,14.71%,0,0%,1,0.20%,1,0.20%,5,0.98%
30,718,622,86.63%,84,11.70%,5,0.70%,3,0.42%,2,0.28%,2,0.28%
31,671,615,91.65%,45,6.71%,4,0.60%,2,0.30%,1,0.15%,4,0.60%
32,670,564,84.18%,92,13.73%,5,0.75%,0,0%,1,0.15%,8,1.19%
33,686,606,88.34%,73,10.64%,2,0.29%,4,0.58%,0,0%,1,0.15%
34,773,694,89.78%,65,8.41%,1,0.13%,2,0.26%,2,0.26%,9,1.16%
35,711,632,88.89%,72,10.13%,1,0.14%,1,0.14%,1,0.14%,4,0.56%
36,625,512,81.92%,102,16.32%,2,0.32%,1,0.16%,0,0%,8,1.28%
37,573,488,85.17%,80,13.96%,1,0.17%,2,0.35%,0,0%,2,0.35%
38,780,700,89.74%,64,8.21%,3,0.38%,1,0.13%,0,0%,12,1.54%
39,647,529,81.76%,108,16.69%,1,0.15%,2,0.31%,0,0%,7,1.08%
40,508,442,87.01%,55,10.83%,4,0.79%,1,0.20%,0,0%,6,1.18%
Total,26486,22999,86.83%,3051,11.52%,126,0.48%,79,0.30%,17,0.06%,214,0.81%
,,,,,,,,,,,,,
Ward 47,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,463,391,84.45%,64,13.82%,2,0.43%,1,0.22%,1,0.22%,4,0.86%
2,671,569,84.80%,89,13.26%,5,0.75%,1,0.15%,1,0.15%,6,0.89%
3,625,522,83.52%,89,14.24%,4,0.64%,0,0%,2,0.32%,8,1.28%
4,792,681,85.98%,101,12.75%,2,0.25%,1,0.13%,0,0%,7,0.88%
5,723,642,88.80%,66,9.13%,3,0.41%,4,0.55%,0,0%,8,1.11%
6,817,721,88.25%,80,9.79%,3,0.37%,2,0.24%,0,0%,11,1.35%
7,626,521,83.23%,95,15.18%,3,0.48%,1,0.16%,0,0%,6,0.96%
8,669,580,86.70%,71,10.61%,3,0.45%,1,0.15%,0,0%,14,2.09%
9,659,551,83.61%,87,13.20%,4,0.61%,3,0.46%,1,0.15%,13,1.97%
10,773,694,89.78%,62,8.02%,4,0.52%,1,0.13%,0,0%,12,1.55%
11,708,607,85.73%,96,13.56%,0,0%,0,0%,0,0%,5,0.71%
12,723,642,88.80%,58,8.02%,5,0.69%,3,0.41%,0,0%,15,2.07%
13,633,552,87.20%,66,10.43%,6,0.95%,0,0%,2,0.32%,7,1.11%
14,623,537,86.20%,78,12.52%,1,0.16%,0,0%,0,0%,7,1.12%
15,761,703,92.38%,42,5.52%,5,0.66%,4,0.53%,1,0.13%,6,0.79%
16,640,533,83.28%,94,14.69%,4,0.63%,3,0.47%,2,0.31%,4,0.63%
17,690,567,82.17%,108,15.65%,5,0.72%,1,0.14%,1,0.14%,8,1.16%
18,661,560,84.72%,83,12.56%,6,0.91%,0,0%,2,0.30%,10,1.51%
19,986,914,92.70%,56,5.68%,6,0.61%,2,0.20%,0,0%,8,0.81%
20,686,611,89.07%,62,9.04%,5,0.73%,0,0%,0,0%,8,1.17%
21,635,551,86.77%,67,10.55%,5,0.79%,7,1.10%,1,0.16%,4,0.63%
22,712,621,87.22%,76,10.67%,5,0.70%,2,0.28%,1,0.14%,7,0.98%
23,701,640,91.30%,51,7.28%,2,0.29%,2,0.29%,0,0%,6,0.86%
24,726,648,89.26%,63,8.68%,7,0.96%,3,0.41%,0,0%,5,0.69%
25,813,721,88.68%,77,9.47%,6,0.74%,0,0%,0,0%,9,1.11%
26,871,806,92.54%,57,6.54%,1,0.11%,2,0.23%,2,0.23%,3,0.34%
27,557,482,86.54%,59,10.59%,5,0.90%,0,0%,0,0%,11,1.97%
28,605,531,87.77%,61,10.08%,3,0.50%,4,0.66%,0,0%,6,0.99%
